pair_n,year,codeh,codef,pair_str,export,xpi,import,mpi,gdpf,gdph,gdppcf,gdppch,popf,poph,nrerf,nrerh,border,language,comlang_ethno,colony,comcol,curcol,col45,smctry,dist,distcap,distw,distwces,eareah,eareaf,europ,eunionh,eunionf,ceep,rexport,rimport,trade,gdp,sim,rfl,rerh,rerf,rer,distance,idh,idf
1,1960,AUS,AUT,AUSAUT,3.7,19.05,8.36,13.5,9.18E+10,1.99E+11,13031.032,19378.371,7047539,10276477,26,0.89,0,0,0,0,0,0,0,0,15988.95,15931.75,15608.42,15559.91,0,0,0,0,0,0,19.42134,61.94636,4.398978,26.39651,-0.83932166,8.755791,4.686617,136.4743,-3.371425,9.679653,1,2
2,1960,AUS,CAN,AUSCAN,36.1,19.05,101.53,13.5,2.95E+11,1.99E+11,16449.777,19378.371,17909009,10276477,0.97,0.89,0,1,1,0,0,0,0,0,15586.66,16123,15391.07,15223.99,0,0,0,0,0,0,189.4893,752.3223,6.847805,26.92528,-0.73124248,7.982278,4.686617,5.090317,-0.0826292,9.654171,1,4
3,1960,AUS,CHE,AUSCHE,4.8,19.05,32.23,13.5,1.63E+11,1.99E+11,30624.716,19378.371,5327827,10276477,4.37,0.89,0,0,0,0,0,0,0,0,16673.2,16612.46,16170.09,16122.7,0,0,0,0,0,0,25.19526,238.8195,5.576005,26.61575,-0.70305735,9.327799,4.686617,22.95367,-1.588767,9.721558,1,5
4,1960,AUS,DEU,AUSDEU,66.8,19.05,153.23,13.5,1.54E+12,1.99E+11,19679.536,19378.371,72814900,10276477,4.2,0.89,0,0,0,0,0,0,0,0,16562.72,16082.09,15935.09,15890.82,0,0,0,0,1,0,350.634,1135.412,7.303874,28.18345,-1.59476,5.707661,4.686617,22.04585,-1.548413,9.71491,1,6
5,1960,AUS,DNK,AUSDNK,1.9,19.05,5.83,13.5,9.41E+10,1.99E+11,20537.546,19378.371,4579603,10276477,6.91,0.89,0,0,0,0,0,0,0,0,16054.1,16052.43,15725.46,15687.46,0,0,0,0,0,0,9.973123,43.19944,3.973542,26.4041,-0.83064787,7.055464,4.686617,36.25566,-2.045885,9.68372,1,7
6,1960,AUS,ESP,AUSESP,0.4,19.05,6.05,13.5,2.25E+11,1.99E+11,7375.7029,19378.371,30455000,10276477,60,0.89,0,0,0,0,0,0,0,0,17699.45,17591.48,17072.92,17016.02,0,0,0,0,0,0,2.099605,44.82961,3.84864,26.77245,-0.69677062,9.392884,4.686617,314.9407,-4.207674,9.781289,1,8
7,1960,AUS,FIN,AUSFIN,0.5,19.05,10.89,13.5,5.40E+10,1.99E+11,12179.393,19378.371,4429634,10276477,3.2,0.89,0,0,0,0,0,0,0,0,15211.41,15227.52,14849.46,14815.12,0,0,0,0,0,0,2.624506,80.69329,4.422662,26.25702,-1.0922786,8.881695,4.686617,16.79684,-1.27648,9.629801,1,9
8,1960,AUS,FRA,AUSFRA,121.6,19.05,42.02,13.5,5.94E+11,1.99E+11,12743.925,19378.371,46621669,10276477,4.94,0.89,0,0,0,0,0,0,0,0,16975.46,16938.09,16513.02,16464.9,0,0,0,0,1,0,638.2798,311.362,6.856085,27.39945,-0.97808135,8.800031,4.686617,25.91469,-1.710099,9.739524,1,10
9,1960,AUS,GBR,AUSGBR,555.1,19.05,867.46,13.5,7.30E+11,1.99E+11,13934.03,19378.371,52400000,10276477,0.36,0.89,0,1,1,1,0,0,0,0,17011.27,17001.95,16602.27,16563.96,0,0,0,0,0,0,2913.726,6427.75,9.14222,27.55768,-1.0884271,8.602332,4.686617,1.874648,0.9162902,9.741632,1,11
10,1960,AUS,GRC,AUSGRC,2.7,19.05,0.88,13.5,5.22E+10,1.99E+11,6259.7931,19378.371,8331725,10276477,30,0.89,0,0,0,0,0,0,0,0,15337.68,15219.61,14845.6,14785.52,0,0,0,0,0,0,14.17233,6.52067,3.029796,26.2499,-1.1118852,9.481785,4.686617,157.4719,-3.514536,9.638068,1,12
