,Twostep,SPJ,CCE,SPJ_chen
T=30,-0.020829499,-0.011965003,-0.025177984,-0.043216346
T=30,-0.013540811,-0.011958897,0.055298179,0.083822527
T=30,-0.013010594,-0.014638067,0.054706841,0.080313202
T=50,-0.018153664,-0.01174187,-0.021615085,-0.051764559
T=50,-0.014554418,-0.009595712,0.05337303,0.076888138
T=50,-0.013177568,-0.013790281,0.049633711,0.07399701
T=100,-0.015183418,-0.011155936,-0.016751045,-0.051433866
T=100,-0.01144588,-0.010336175,0.057407474,0.07820103
T=100,-0.013577635,-0.012566761,0.050307262,0.061027992
T=30,0.022238118,0.016706168,0.028640175,0.050758714
T=30,0.033342131,0.050438234,0.076396606,0.1321156
T=30,0.032590624,0.047317956,0.075223688,0.123558514
T=50,0.019087585,0.01438755,0.02411562,0.055323367
T=50,0.027118396,0.036241057,0.065723919,0.110135612
T=50,0.025436826,0.036135792,0.063928552,0.113607841
T=100,0.015890176,0.012661793,0.01824549,0.053329876
T=100,0.018767458,0.022901747,0.06365585,0.099186725
T=100,0.021212005,0.025117751,0.058371753,0.086890014
