"","SPJ_c","SPJ_c","SPJ_c","SPJ_c","SPJ_robust","SPJ_robust","SPJ_robust","SPJ_robust"
"1",0.055,0.0575,0.07,0.0775,0.0525,0.065,0.0725,0.075
"2",0.08,0.0875,0.1025,0.1025,0.0825,0.0925,0.105,0.1025
"3",0.0625,0.0725,0.085,0.08,0.06,0.065,0.0825,0.085
"4",0.0475,0.05,0.055,0.0675,0.0525,0.05,0.06,0.06
"5",0.0625,0.0675,0.0825,0.085,0.0675,0.07,0.09,0.1
"6",0.0825,0.0825,0.095,0.105,0.085,0.085,0.1025,0.11
"7",0.0325,0.035,0.0475,0.0475,0.035,0.0375,0.0475,0.0475
"8",0.0475,0.0475,0.0525,0.06,0.0425,0.0475,0.0525,0.06
"9",0.0625,0.0625,0.07,0.0675,0.065,0.0675,0.0675,0.07
"10",0.9775,0.9575,0.9725,0.98,0.975,0.96,0.9725,0.9775
"11",0.69,0.6825,0.7625,0.7525,0.6925,0.68,0.7775,0.7625
"12",0.6775,0.665,0.7025,0.71,0.675,0.6675,0.735,0.7175
"13",0.9975,0.99,0.9975,0.995,0.995,0.99,0.9975,0.995
"14",0.915,0.92,0.95,0.9275,0.915,0.9175,0.95,0.925
"15",0.89,0.8975,0.915,0.925,0.895,0.9,0.915,0.9275
"16",0.9975,1,1,1,0.9975,1,1,1
"17",0.9975,0.9975,0.995,0.9975,0.995,0.9975,0.995,0.9975
"18",0.995,0.9975,1,0.9975,0.9925,0.9975,1,0.9975
